epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,787,771,0.979669631512,0.55137950235
2,613,1346,2.19575856444,0.488915423427
3,272,2540,9.33823529412,0.700736669295
4,231,3293,14.2554112554,1.03231645123
5,173,3190,18.4393063584,1.41967618259
6,169,3910,23.1360946746,1.83644743935
7,126,4771,37.8650793651,2.15856898043
8,119,5506,46.268907563,2.43674876204
9,96,6421,66.8854166667,2.70709535771
10,93,6897,74.1612903226,2.86814509416
11,85,7669,90.2235294118,3.22983775852
12,91,9984,109.714285714,3.23956501856
13,87,10760,123.67816092,3.52612296872
14,83,12766,153.807228916,3.63237392571
15,83,12481,150.373493976,3.60222402617
16,73,12640,173.150684932,3.59572063308
17,76,14255,187.565789474,3.47777303912
18,75,15252,203.36,3.64023832608
19,80,17506,218.825,3.69048598493
20,76,14605,192.171052632,3.89027838513
21,70,16416,234.514285714,3.89991479198
22,69,17403,252.217391304,4.01319299795
23,76,17028,224.052631579,4.14105978925
24,69,18165,263.260869565,4.20224771237
25,78,16570,212.435897436,4.23746507555
26,102,7893,77.3823529412,4.27406205028
27,108,4889,45.2685185185,4.16993333096
28,62,19503,314.564516129,4.4862076162
29,106,8754,82.5849056604,4.655737496
30,69,19133,277.289855072,4.61002864333
31,69,15085,218.623188406,4.51597265424
32,69,17226,249.652173913,4.41697209932
33,66,18543,280.954545455,4.50293298019
34,69,13765,199.492753623,4.62549239095
35,66,19579,296.651515152,4.32787757881
36,72,18676,259.388888889,4.48974064663
37,67,19319,288.343283582,4.36775891803
38,69,20478,296.782608696,4.25990655672
39,72,18462,256.416666667,4.27033311192
40,74,20381,275.418918919,4.31108454745
41,82,18379,224.134146341,4.21125268519
42,89,20103,225.876404494,4.14764959514
43,71,17821,251.0,4.25023094181
44,87,20529,235.965517241,4.3325950329
45,78,19975,256.08974359,4.35885887697
46,82,17534,213.829268293,4.34402056448
47,72,21255,295.208333333,4.44740891602
48,70,20845,297.785714286,4.37148754302
49,81,20765,256.358024691,4.18833402339
50,80,17115,213.9375,4.12554888923
51,73,21176,290.082191781,4.13888101883
52,71,20253,285.253521127,4.18885442637
53,69,20073,290.913043478,4.41670637101
54,119,13635,114.579831933,4.4523098027
55,78,18072,231.692307692,4.51571783397
56,75,21547,287.293333333,4.34770868219
57,72,17664,245.333333333,4.36827342045
58,81,19383,239.296296296,4.3079525324
59,69,23607,342.130434783,4.12532134358
60,75,22875,305.0,4.16233484335
61,76,22381,294.486842105,4.07040284161
62,68,23683,348.279411765,4.07634889293
63,82,17655,215.304878049,4.55256900478
64,71,20475,288.38028169,4.51571589656
65,97,16000,164.948453608,4.51621480044
66,79,16541,209.379746835,4.7571422264
67,83,21040,253.493975904,5.02254426781
68,75,20210,269.466666667,5.10576325368
69,90,18234,202.6,4.92915153604
70,88,21725,246.875,4.64136180598
71,115,14302,124.365217391,4.6231548715
72,104,20200,194.230769231,4.70399944723
73,73,21301,291.794520548,4.62610881511
74,73,21104,289.095890411,4.49535707057
75,74,20747,280.364864865,4.82304834362
76,83,20956,252.481927711,4.86486409351
77,65,21310,327.846153846,4.56013826955
78,89,15628,175.595505618,4.53708496246
79,87,19138,219.977011494,4.59165023021
80,76,20872,274.631578947,4.33692171656
81,76,23049,303.276315789,4.39065326266
82,72,21936,304.666666667,4.44440498054
83,70,21617,308.814285714,4.31556209452
84,62,21942,353.903225806,4.33436714083
85,73,19556,267.890410959,4.33332959585
86,87,14291,164.264367816,4.24469201975
87,75,17294,230.586666667,4.25490180127
88,88,15758,179.068181818,4.09855019763
89,90,21073,234.144444444,4.11391676538
90,84,19379,230.702380952,4.17666374415
91,86,20813,242.011627907,4.19049718656
92,74,24054,325.054054054,4.12382215887
93,68,18097,266.132352941,4.3258353129
94,80,20062,250.775,4.34593871258
95,73,21386,292.95890411,4.36909136958
96,129,16371,126.906976744,4.27159173019
97,79,20293,256.873417722,4.4362557067
98,110,12594,114.490909091,4.44235572666
99,78,22326,286.230769231,4.23421445467
100,107,16096,150.429906542,4.58548244275
101,96,18075,188.28125,4.57627424926
102,80,20746,259.325,4.62272358686
103,67,19727,294.432835821,4.51940260991
104,101,19515,193.217821782,4.70152456217
105,67,22261,332.253731343,4.71655793846
106,69,19767,286.47826087,4.56478938662
107,62,19863,320.370967742,4.44201783963
108,95,21344,224.673684211,4.59381194942
109,76,20499,269.723684211,4.76600244433
110,79,21092,266.987341772,4.75822641149
111,56,20449,365.160714286,4.92807610407
112,70,20050,286.428571429,4.6807616277
113,73,23013,315.246575342,4.77319769196
114,72,21382,296.972222222,4.71458172962
115,102,15040,147.450980392,4.73158900268
116,67,19124,285.432835821,4.5906451913
117,68,18589,273.367647059,4.53876569614
118,60,21816,363.6,4.9234160243
119,102,19330,189.509803922,4.85399357557
120,76,21465,282.434210526,4.8864984221
121,73,19236,263.506849315,4.82954153001
122,96,17422,181.479166667,4.53163600683
123,73,22198,304.082191781,4.57225015052
124,72,20228,280.944444444,4.74973087564
125,105,13862,132.019047619,4.41803840816
126,76,19755,259.934210526,4.39260503486
127,74,20063,271.121621622,4.47396372758
128,82,22511,274.524390244,4.37823354617
129,64,19577,305.890625,4.54193121217
130,92,20691,224.902173913,4.56970593438
131,134,12703,94.7985074627,4.61423326157
132,69,20932,303.362318841,4.62174559481
133,72,20893,290.180555556,4.37558477029
134,99,18451,186.373737374,4.48794944309
135,81,23390,288.765432099,4.34956685208
136,95,19106,201.115789474,4.846651159
137,96,20773,216.385416667,4.69768511094
138,79,22781,288.367088608,4.37860936642
139,120,22015,183.458333333,4.36248010173
140,99,19896,200.96969697,4.57439754479
141,105,17480,166.476190476,4.5589534501
142,64,23002,359.40625,4.50340894982
143,86,19334,224.813953488,4.59940914378
144,63,20369,323.317460317,4.59971452788
145,80,21708,271.35,4.50859782018
146,101,18698,185.128712871,4.78443809614
147,63,20475,325.0,4.56018680587
148,64,19498,304.65625,4.61272150524
149,101,17617,174.425742574,4.63329231523
150,121,12826,106.0,4.75166198798
151,64,21878,341.84375,4.49047910169
152,71,20394,287.23943662,4.52100472935
153,79,17279,218.721518987,4.5264063517
154,93,18729,201.387096774,4.44542657569
155,69,20583,298.304347826,4.56368225805
156,84,22364,266.238095238,4.5518570669
157,83,19758,238.048192771,4.43315008029
158,87,22484,258.436781609,4.43050862253
159,72,18282,253.916666667,4.71748587973
160,78,23686,303.666666667,4.60927201904
161,94,19106,203.255319149,4.75487082481
162,74,23276,314.540540541,4.79827007025
163,137,14578,106.408759124,4.93762105145
164,95,22135,233.0,4.66642402552
165,67,19922,297.343283582,4.60605345972
166,97,15822,163.113402062,4.68634046435
167,72,21767,302.319444444,4.7282107386
168,71,23163,326.23943662,4.61160825387
169,76,22858,300.763157895,4.78802710146
170,92,19636,213.434782609,4.78165702917
171,99,19911,201.121212121,4.7835661459
172,107,18618,174.0,4.75751674816
173,77,18806,244.233766234,4.78653661735
174,86,19722,229.325581395,4.70131133378
175,100,22379,223.79,4.71908738196
176,77,23099,299.987012987,4.6977309151
177,64,20036,313.0625,4.78077634752
178,57,20575,360.964912281,4.63789726913
179,75,19462,259.493333333,4.83497862555
180,74,23998,324.297297297,4.92655597843
181,71,22644,318.929577465,4.90520611942
182,82,26036,317.512195122,5.08938600175
183,92,19532,212.304347826,5.00553372271
184,85,21070,247.882352941,5.0687881805
185,82,21038,256.56097561,4.92425441206
186,61,20306,332.885245902,4.77728979304
187,89,18285,205.449438202,4.56671349414
188,67,21534,321.402985075,4.57322056696
189,88,22230,252.613636364,4.62423765928
190,85,24662,290.141176471,4.6342405913
191,69,21152,306.550724638,4.74382095322
192,87,24934,286.597701149,4.73699371777
193,96,21421,223.135416667,4.61639623836
194,83,20294,244.506024096,4.72241576724
195,85,26013,306.035294118,4.6257724829
196,101,23298,230.673267327,4.76407877132
197,130,14299,109.992307692,4.84592053704
198,67,22580,337.014925373,5.0635083425
199,74,24499,331.067567568,5.22292592354
200,87,16005,183.965517241,5.07381819725
